,course,Users per course,Start Date,End Date,Course duration days,Week before start,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
73,1288.0,51.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
77,1303.0,119.0,2015-02-16,2015-06-05,110.0,2015-02-09,2015-02-27,2015-03-20,2015-03-27,2015-04-17,2015-06-12
78,1305.0,85.0,2015-03-02,2015-05-29,89.0,2015-02-23,2015-03-13,2015-03-27,2015-04-03,2015-04-17,2015-06-05
81,1313.0,118.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
84,1318.0,50.0,2014-10-13,2014-12-19,68.0,2014-10-06,2014-10-24,2014-10-31,2014-11-07,2014-11-21,2014-12-26
87,1331.0,54.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
88,1338.0,66.0,2014-09-29,2014-12-19,82.0,2014-09-22,2014-10-10,2014-10-24,2014-10-31,2014-11-14,2014-12-26
90,1345.0,136.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
91,1356.0,90.0,2015-04-06,2015-05-29,54.0,2015-03-30,2015-04-17,2015-04-24,2015-04-24,2015-05-08,2015-06-05
93,1363.0,126.0,2014-09-22,2014-12-19,89.0,2014-09-15,2014-10-03,2014-10-17,2014-10-24,2014-11-07,2014-12-26
98,1376.0,90.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
99,1378.0,73.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
100,1380.0,64.0,2014-09-08,2015-06-05,271.0,2014-09-01,2014-10-10,2014-11-14,2014-12-12,2015-01-23,2015-06-12
101,1385.0,61.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
106,174.0,96.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
107,177.0,97.0,2015-01-26,2015-06-12,138.0,2015-01-19,2015-02-13,2015-03-06,2015-03-13,2015-04-10,2015-06-19
112,1814.0,54.0,2015-01-05,2015-02-13,40.0,2014-12-29,2015-01-09,2015-01-16,2015-01-23,2015-01-30,2015-02-20
117,1832.0,55.0,2014-09-29,2015-01-30,124.0,2014-09-22,2014-10-17,2014-10-31,2014-11-14,2014-12-05,2015-02-06
119,1840.0,58.0,2015-01-05,2015-05-29,145.0,2014-12-29,2015-01-23,2015-02-13,2015-02-27,2015-03-20,2015-06-05
124,190.0,113.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
127,191.0,75.0,2014-09-01,2015-01-09,131.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-16
131,1954.0,57.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
134,1990.0,69.0,2015-03-16,2015-05-15,61.0,2015-03-09,2015-03-27,2015-04-03,2015-04-10,2015-04-17,2015-05-22
135,1997.0,96.0,2014-12-15,2015-05-22,159.0,2014-12-08,2015-01-02,2015-01-23,2015-02-06,2015-03-06,2015-05-29
137,2007.0,233.0,2014-09-01,2015-01-02,124.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-09
138,2019.0,87.0,2014-09-01,2015-01-09,131.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-16
139,2020.0,50.0,2015-01-19,2015-06-19,152.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-06-26
140,2024.0,327.0,2015-01-05,2015-06-05,152.0,2014-12-29,2015-01-23,2015-02-13,2015-02-27,2015-03-27,2015-06-12
142,2027.0,84.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
144,2041.0,72.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
145,2046.0,112.0,2014-10-20,2015-01-30,103.0,2014-10-13,2014-10-31,2014-11-14,2014-11-28,2014-12-12,2015-02-06
146,2055.0,88.0,2014-08-25,2015-01-30,159.0,2014-08-18,2014-09-12,2014-10-03,2014-10-17,2014-11-14,2015-02-06
147,2058.0,83.0,2014-09-01,2015-06-05,278.0,2014-08-25,2014-10-03,2014-11-14,2014-12-05,2015-01-23,2015-06-12
148,2059.0,507.0,2014-09-22,2015-01-30,131.0,2014-09-15,2014-10-10,2014-10-24,2014-11-07,2014-11-28,2015-02-06
149,2060.0,72.0,2014-12-08,2015-01-16,40.0,2014-12-01,2014-12-12,2014-12-19,2014-12-26,2015-01-02,2015-01-23
150,2063.0,129.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
151,2068.0,68.0,2015-01-19,2015-06-05,138.0,2015-01-12,2015-02-06,2015-02-27,2015-03-06,2015-04-03,2015-06-12
152,2072.0,62.0,2015-01-19,2015-06-05,138.0,2015-01-12,2015-02-06,2015-02-27,2015-03-06,2015-04-03,2015-06-12
153,2076.0,55.0,2014-09-15,2015-01-09,117.0,2014-09-08,2014-09-26,2014-10-17,2014-10-24,2014-11-14,2015-01-16
154,2083.0,97.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
156,2090.0,57.0,2014-10-06,2015-05-29,236.0,2014-09-29,2014-10-31,2014-12-05,2014-12-26,2015-02-06,2015-06-05
157,2102.0,52.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
158,2103.0,69.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
159,2111.0,69.0,2014-11-03,2015-01-16,75.0,2014-10-27,2014-11-14,2014-11-21,2014-11-28,2014-12-12,2015-01-23
162,2126.0,101.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
164,2135.0,55.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
165,2138.0,70.0,2015-01-19,2015-06-05,138.0,2015-01-12,2015-02-06,2015-02-27,2015-03-06,2015-04-03,2015-06-12
166,2142.0,65.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
167,2150.0,103.0,2014-10-20,2015-01-23,96.0,2014-10-13,2014-10-31,2014-11-14,2014-11-21,2014-12-12,2015-01-30
170,2164.0,87.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
171,2167.0,114.0,2015-01-19,2015-06-12,145.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-03,2015-06-19
175,2178.0,123.0,2014-09-29,2015-01-16,110.0,2014-09-22,2014-10-10,2014-10-31,2014-11-07,2014-11-28,2015-01-23
176,2184.0,57.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
177,2189.0,122.0,2014-12-08,2015-01-23,47.0,2014-12-01,2014-12-12,2014-12-19,2014-12-26,2015-01-02,2015-01-30
178,2190.0,64.0,2014-09-22,2014-12-26,96.0,2014-09-15,2014-10-03,2014-10-17,2014-10-24,2014-11-14,2015-01-02
179,2192.0,50.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
182,2213.0,87.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
184,2215.0,62.0,2015-01-19,2015-06-12,145.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-03,2015-06-19
185,2221.0,55.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
186,2237.0,62.0,2015-01-19,2015-05-08,110.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-15
188,2243.0,109.0,2015-01-19,2015-06-12,145.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-03,2015-06-19
190,2252.0,50.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
195,2261.0,79.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
196,2267.0,54.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
197,2271.0,642.0,2015-01-26,2015-05-29,124.0,2015-01-19,2015-02-13,2015-02-27,2015-03-13,2015-04-03,2015-06-05
198,2272.0,73.0,2015-02-09,2015-05-08,89.0,2015-02-02,2015-02-20,2015-03-06,2015-03-13,2015-03-27,2015-05-15
199,2274.0,73.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
201,2280.0,69.0,2014-09-15,2015-01-23,131.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-30
202,2281.0,56.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
203,2287.0,109.0,2015-01-26,2015-06-26,152.0,2015-01-19,2015-02-13,2015-03-06,2015-03-20,2015-04-17,2015-07-03
204,2288.0,256.0,2015-01-26,2015-06-12,138.0,2015-01-19,2015-02-13,2015-03-06,2015-03-13,2015-04-10,2015-06-19
208,2306.0,55.0,2014-09-15,2015-01-23,131.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-30
212,2339.0,67.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
213,2343.0,51.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
214,2345.0,63.0,2014-09-15,2015-01-23,131.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-30
215,2347.0,64.0,2014-09-15,2015-01-23,131.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-30
217,2353.0,59.0,2014-09-15,2015-01-30,138.0,2014-09-08,2014-10-03,2014-10-24,2014-10-31,2014-11-28,2015-02-06
218,2358.0,66.0,2014-10-27,2015-01-16,82.0,2014-10-20,2014-11-07,2014-11-21,2014-11-28,2014-12-12,2015-01-23
219,2370.0,61.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
220,2372.0,74.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
221,2378.0,92.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
224,2383.0,73.0,2014-09-01,2015-06-05,278.0,2014-08-25,2014-10-03,2014-11-14,2014-12-05,2015-01-23,2015-06-12
225,2387.0,67.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
226,2395.0,50.0,2014-09-29,2015-06-05,250.0,2014-09-22,2014-10-24,2014-12-05,2014-12-26,2015-02-06,2015-06-12
230,2406.0,130.0,2014-11-24,2015-01-23,61.0,2014-11-17,2014-12-05,2014-12-12,2014-12-19,2014-12-26,2015-01-30
231,2407.0,67.0,2014-09-01,2015-01-30,152.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-21,2015-02-06
233,2411.0,363.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
235,2415.0,51.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
236,2418.0,168.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
239,2432.0,81.0,2014-09-08,2015-04-24,229.0,2014-09-01,2014-10-03,2014-11-07,2014-11-28,2015-01-02,2015-05-01
244,2467.0,63.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
245,2468.0,80.0,2015-01-26,2015-05-29,124.0,2015-01-19,2015-02-13,2015-02-27,2015-03-13,2015-04-03,2015-06-05
248,2478.0,114.0,2015-01-26,2015-06-19,145.0,2015-01-19,2015-02-13,2015-03-06,2015-03-20,2015-04-10,2015-06-26
250,2482.0,70.0,2014-10-20,2015-02-13,117.0,2014-10-13,2014-10-31,2014-11-21,2014-11-28,2014-12-19,2015-02-20
252,2498.0,72.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
253,2563.0,85.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
255,2578.0,127.0,2014-12-08,2015-01-16,40.0,2014-12-01,2014-12-12,2014-12-19,2014-12-26,2015-01-02,2015-01-23
256,2582.0,56.0,2014-09-22,2014-11-21,61.0,2014-09-15,2014-10-03,2014-10-10,2014-10-17,2014-10-24,2014-11-28
257,2592.0,83.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
258,2599.0,89.0,2015-03-23,2015-05-08,47.0,2015-03-16,2015-03-27,2015-04-03,2015-04-10,2015-04-17,2015-05-15
259,2600.0,122.0,2015-01-26,2015-05-15,110.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-22
260,2607.0,261.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
261,2619.0,67.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
262,2632.0,83.0,2014-12-15,2015-01-23,40.0,2014-12-08,2014-12-19,2014-12-26,2015-01-02,2015-01-09,2015-01-30
283,3010.0,100.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
284,3017.0,150.0,2014-12-01,2015-05-22,173.0,2014-11-24,2014-12-19,2015-01-16,2015-01-30,2015-02-27,2015-05-29
286,3019.0,50.0,2014-09-08,2015-05-15,250.0,2014-09-01,2014-10-03,2014-11-14,2014-12-05,2015-01-16,2015-05-22
287,3021.0,196.0,2014-09-08,2015-07-03,299.0,2014-09-01,2014-10-10,2014-11-21,2014-12-19,2015-02-06,2015-07-10
288,3022.0,235.0,2014-12-01,2015-07-03,215.0,2014-11-24,2014-12-26,2015-01-23,2015-02-13,2015-03-20,2015-07-10
289,3028.0,72.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
290,3029.0,116.0,2015-05-18,2015-07-03,47.0,2015-05-11,2015-05-22,2015-05-29,2015-06-05,2015-06-12,2015-07-10
292,3033.0,248.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
295,3050.0,60.0,2015-01-26,2015-06-12,138.0,2015-01-19,2015-02-13,2015-03-06,2015-03-13,2015-04-10,2015-06-19
296,3055.0,53.0,2014-10-20,2015-01-23,96.0,2014-10-13,2014-10-31,2014-11-14,2014-11-21,2014-12-12,2015-01-30
298,3061.0,74.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
299,3062.0,76.0,2015-02-16,2015-05-15,89.0,2015-02-09,2015-02-27,2015-03-13,2015-03-20,2015-04-03,2015-05-22
300,3066.0,122.0,2014-10-27,2015-06-05,222.0,2014-10-20,2014-11-21,2014-12-26,2015-01-09,2015-02-20,2015-06-12
301,3069.0,219.0,2014-10-27,2015-05-22,208.0,2014-10-20,2014-11-21,2014-12-19,2015-01-09,2015-02-13,2015-05-29
302,3076.0,144.0,2014-09-15,2015-01-30,138.0,2014-09-08,2014-10-03,2014-10-24,2014-10-31,2014-11-28,2015-02-06
303,3077.0,180.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
304,3089.0,111.0,2014-10-27,2015-05-22,208.0,2014-10-20,2014-11-21,2014-12-19,2015-01-09,2015-02-13,2015-05-29
306,3094.0,82.0,2015-02-23,2015-06-19,117.0,2015-02-16,2015-03-06,2015-03-27,2015-04-03,2015-04-24,2015-06-26
311,3120.0,65.0,2014-09-01,2015-01-30,152.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-21,2015-02-06
312,3122.0,144.0,2014-09-01,2015-05-15,257.0,2014-08-25,2014-09-26,2014-11-07,2014-11-28,2015-01-09,2015-05-22
313,3127.0,161.0,2015-03-02,2015-06-05,96.0,2015-02-23,2015-03-13,2015-03-27,2015-04-03,2015-04-24,2015-06-12
315,3131.0,74.0,2014-09-22,2015-05-29,250.0,2014-09-15,2014-10-17,2014-11-28,2014-12-19,2015-01-30,2015-06-05
317,3138.0,58.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
318,3140.0,135.0,2014-09-08,2014-12-19,103.0,2014-09-01,2014-09-19,2014-10-03,2014-10-17,2014-10-31,2014-12-26
319,3151.0,265.0,2014-09-01,2015-05-15,257.0,2014-08-25,2014-09-26,2014-11-07,2014-11-28,2015-01-09,2015-05-22
321,3161.0,51.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
322,3164.0,120.0,2014-09-01,2014-12-26,117.0,2014-08-25,2014-09-12,2014-10-03,2014-10-10,2014-10-31,2015-01-02
326,3171.0,66.0,2014-09-01,2015-01-30,152.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-21,2015-02-06
330,3320.0,79.0,2014-10-13,2015-01-23,103.0,2014-10-06,2014-10-24,2014-11-07,2014-11-21,2014-12-05,2015-01-30
332,3343.0,119.0,2014-10-13,2015-06-12,243.0,2014-10-06,2014-11-07,2014-12-12,2015-01-02,2015-02-13,2015-06-19
336,3361.0,79.0,2014-09-08,2015-06-12,278.0,2014-09-01,2014-10-10,2014-11-21,2014-12-12,2015-01-30,2015-06-19
342,3564.0,138.0,2014-09-22,2014-12-19,89.0,2014-09-15,2014-10-03,2014-10-17,2014-10-24,2014-11-07,2014-12-26
343,3570.0,61.0,2015-02-02,2015-05-01,89.0,2015-01-26,2015-02-13,2015-02-27,2015-03-06,2015-03-20,2015-05-08
344,3572.0,148.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
345,3580.0,126.0,2015-01-26,2015-06-05,131.0,2015-01-19,2015-02-13,2015-02-27,2015-03-13,2015-04-03,2015-06-12
348,3601.0,69.0,2015-01-19,2015-05-22,124.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-05-29
349,3604.0,66.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
350,3609.0,65.0,2014-09-08,2014-12-19,103.0,2014-09-01,2014-09-19,2014-10-03,2014-10-17,2014-10-31,2014-12-26
351,3614.0,97.0,2014-10-13,2015-01-09,89.0,2014-10-06,2014-10-24,2014-11-07,2014-11-14,2014-11-28,2015-01-16
352,3620.0,120.0,2014-09-08,2015-01-02,117.0,2014-09-01,2014-09-19,2014-10-10,2014-10-17,2014-11-07,2015-01-09
353,3626.0,63.0,2015-01-26,2015-05-29,124.0,2015-01-19,2015-02-13,2015-02-27,2015-03-13,2015-04-03,2015-06-05
354,3631.0,70.0,2014-12-08,2015-01-30,54.0,2014-12-01,2014-12-19,2014-12-26,2014-12-26,2015-01-09,2015-02-06
355,3642.0,107.0,2014-09-15,2014-12-19,96.0,2014-09-08,2014-09-26,2014-10-10,2014-10-17,2014-11-07,2014-12-26
356,3772.0,53.0,2015-01-19,2015-05-01,103.0,2015-01-12,2015-01-30,2015-02-13,2015-02-27,2015-03-13,2015-05-08
358,3794.0,60.0,2014-12-01,2015-06-12,194.0,2014-11-24,2014-12-26,2015-01-23,2015-02-06,2015-03-13,2015-06-19
360,3816.0,56.0,2015-01-26,2015-05-15,110.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-22
365,401.0,67.0,2015-01-12,2015-05-29,138.0,2015-01-05,2015-01-30,2015-02-20,2015-02-27,2015-03-27,2015-06-05
370,4156.0,105.0,2015-01-12,2015-06-12,152.0,2015-01-05,2015-01-30,2015-02-20,2015-03-06,2015-04-03,2015-06-19
371,4159.0,59.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
372,4161.0,80.0,2014-09-01,2015-05-15,257.0,2014-08-25,2014-09-26,2014-11-07,2014-11-28,2015-01-09,2015-05-22
373,4177.0,85.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
374,4178.0,91.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
375,418.0,55.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
377,4187.0,65.0,2015-03-02,2015-06-05,96.0,2015-02-23,2015-03-13,2015-03-27,2015-04-03,2015-04-24,2015-06-12
378,4189.0,145.0,2015-01-26,2015-06-19,145.0,2015-01-19,2015-02-13,2015-03-06,2015-03-20,2015-04-10,2015-06-26
379,4194.0,87.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
380,4198.0,125.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
384,4212.0,123.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
385,4213.0,144.0,2014-10-13,2014-12-12,61.0,2014-10-06,2014-10-24,2014-10-31,2014-11-07,2014-11-14,2014-12-19
387,4216.0,58.0,2015-02-16,2015-05-29,103.0,2015-02-09,2015-02-27,2015-03-13,2015-03-27,2015-04-10,2015-06-05
391,4247.0,62.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
393,4256.0,99.0,2014-09-01,2014-12-19,110.0,2014-08-25,2014-09-12,2014-10-03,2014-10-10,2014-10-31,2014-12-26
